,first_login_dt,week_year,user_id,habito,habito_dt,activacion,activacion_dt,setup,setup_dt,return,return_dt,min_dt,activacion_dias,setup_dias,return_dias,habito_dias
2052,2022-01-31,5,MLB7642230690,0,,1,2022-02-13,1,2022-02-01,1,2022-02-01,2022-01-31,13,1,1,
2692,2022-01-06,1,MLB7642379740,0,,1,2022-01-09,0,,0,,2022-01-06,3,,,
4218,2022-01-29,4,MLB7648315150,0,,0,,0,,1,2022-02-03,2022-01-29,,,5,
5896,2022-01-04,1,MLB7648555380,0,,0,,0,,1,2022-01-05,2022-01-04,,,1,
3212,2022-01-05,1,MLB7651555830,0,,0,,0,,0,,2022-01-05,,,,
3226,2022-01-25,4,MLB7652403950,0,,0,,0,,0,,2022-01-25,,,,
2939,2022-01-06,1,MLB7652998450,0,,0,,0,,1,2022-01-10,2022-01-06,,,4,
4323,2022-01-11,2,MLB7653716030,0,,0,,0,,0,,2022-01-11,,,,
8677,2022-01-25,4,MLB7653727280,0,,0,,0,,0,,2022-01-25,,,,
3274,2022-01-20,3,MLB7656012090,0,,0,,1,2022-01-20,1,2022-01-21,2022-01-20,,0,1,
1900,2022-01-10,2,MLB7657408270,0,,1,2022-01-10,1,2022-01-10,0,,2022-01-10,0,0,,
470,2022-01-05,1,MLB7658057330,0,,0,,0,,0,,2022-01-05,,,,
7269,2022-01-15,2,MLB7659537590,0,,1,2022-01-15,0,,1,2022-01-21,2022-01-15,0,,6,
7373,2022-01-30,4,MLB7661039820,0,,1,2022-01-30,1,2022-01-30,1,2022-01-31,2022-01-30,0,0,1,
2401,2022-01-24,4,MLB7662236900,0,,0,,0,,0,,2022-01-24,,,,
9194,2022-01-02,1,MLB7663067670,0,,0,,0,,1,2022-01-08,2022-01-02,,,6,
6582,2022-01-08,1,MLB7664001470,1,2022-01-08,1,2022-01-08,0,,1,2022-01-10,2022-01-08,0,,2,0
4906,2022-01-05,1,MLB7664934740,0,,1,2022-01-06,1,2022-01-06,1,2022-01-06,2022-01-05,1,1,1,
6203,2022-01-06,1,MLB7666673970,0,,0,,1,2022-01-06,0,,2022-01-06,,0,,
8494,2022-01-23,3,MLB7667638550,0,,0,,1,2022-01-23,0,,2022-01-23,,0,,
8814,2022-01-06,1,MLB7668444850,0,,1,2022-02-03,1,2022-02-03,1,2022-01-07,2022-01-06,28,28,1,
9710,2022-01-30,4,MLB7668477090,0,,0,,0,,1,2022-02-25,2022-01-30,,,26,
4803,2022-01-06,1,MLB7669981490,0,,0,,1,2022-01-06,0,,2022-01-06,,0,,
1215,2022-01-26,4,MLB7671495260,0,,0,,1,2022-01-26,1,2022-02-03,2022-01-26,,0,8,
8436,2022-01-31,5,MLB7672621540,0,,0,,1,2022-01-31,0,,2022-01-31,,0,,
7356,2022-01-27,4,MLB7673408370,0,,1,2022-01-27,1,2022-01-27,1,2022-01-28,2022-01-27,0,0,1,
9578,2022-01-16,2,MLB7674537770,0,,1,2022-01-16,0,,1,2022-01-18,2022-01-16,0,,2,
1946,2022-01-03,1,MLB7674556300,0,,0,,0,,0,,2022-01-03,,,,
6059,2022-01-19,3,MLB7674695110,0,,0,,0,,0,,2022-01-19,,,,
4165,2022-01-28,4,MLB7676893920,0,,0,,0,,1,2022-02-05,2022-01-28,,,8,
4588,2022-01-29,4,MLB7678814210,0,,0,,0,,1,2022-02-04,2022-01-29,,,6,
1040,2022-01-08,1,MLB767890190,1,2022-01-22,1,2022-01-18,1,2022-01-08,1,2022-01-14,2022-01-08,10,0,6,14
